Country Name,Country Code,Series Name,Series Code,2019 [YR2019]
Kiribati,KIR,"Population, total",SP.POP.TOTL,123921
"Korea, Dem. People's Rep.",PRK,"Population, total",SP.POP.TOTL,26037632
"Korea, Rep.",KOR,"Population, total",SP.POP.TOTL,51764822
Kosovo,XKX,"Population, total",SP.POP.TOTL,1788891
Kuwait,KWT,"Population, total",SP.POP.TOTL,4442316
Kyrgyz Republic,KGZ,"Population, total",SP.POP.TOTL,6590211
Lao PDR,LAO,"Population, total",SP.POP.TOTL,7237636
Latvia,LVA,"Population, total",SP.POP.TOTL,1913822
Lebanon,LBN,"Population, total",SP.POP.TOTL,5794594
Lesotho,LSO,"Population, total",SP.POP.TOTL,2209405
Liberia,LBR,"Population, total",SP.POP.TOTL,5043721
Libya,LBY,"Population, total",SP.POP.TOTL,6951033
Liechtenstein,LIE,"Population, total",SP.POP.TOTL,38563
Lithuania,LTU,"Population, total",SP.POP.TOTL,2811089
Luxembourg,LUX,"Population, total",SP.POP.TOTL,620001
"Macao SAR, China",MAC,"Population, total",SP.POP.TOTL,672000
Madagascar,MDG,"Population, total",SP.POP.TOTL,28219554
Malawi,MWI,"Population, total",SP.POP.TOTL,19025752
Malaysia,MYS,"Population, total",SP.POP.TOTL,33440596
Maldives,MDV,"Population, total",SP.POP.TOTL,487731
Mali,MLI,"Population, total",SP.POP.TOTL,21068405
Malta,MLT,"Population, total",SP.POP.TOTL,503912
Marshall Islands,MHL,"Population, total",SP.POP.TOTL,44007
Mauritania,MRT,"Population, total",SP.POP.TOTL,4467708
Mauritius,MUS,"Population, total",SP.POP.TOTL,1265985
Mexico,MEX,"Population, total",SP.POP.TOTL,125762982
"Micronesia, Fed. Sts.",FSM,"Population, total",SP.POP.TOTL,110282
Moldova,MDA,"Population, total",SP.POP.TOTL,2664224
Monaco,MCO,"Population, total",SP.POP.TOTL,38109
Mongolia,MNG,"Population, total",SP.POP.TOTL,3267673
Montenegro,MNE,"Population, total",SP.POP.TOTL,626753
Morocco,MAR,"Population, total",SP.POP.TOTL,36210898
Mozambique,MOZ,"Population, total",SP.POP.TOTL,29884380
Myanmar,MMR,"Population, total",SP.POP.TOTL,52640713
Namibia,NAM,"Population, total",SP.POP.TOTL,2650494
Nauru,NRU,"Population, total",SP.POP.TOTL,11587
Nepal,NPL,"Population, total",SP.POP.TOTL,28414064
Netherlands,NLD,"Population, total",SP.POP.TOTL,17344874
New Caledonia,NCL,"Population, total",SP.POP.TOTL,283606
New Zealand,NZL,"Population, total",SP.POP.TOTL,4979200
Nicaragua,NIC,"Population, total",SP.POP.TOTL,6483657
Niger,NER,"Population, total",SP.POP.TOTL,22947757
Nigeria,NGA,"Population, total",SP.POP.TOTL,209485641
North Macedonia,MKD,"Population, total",SP.POP.TOTL,1876262
Northern Mariana Islands,MNP,"Population, total",SP.POP.TOTL,48129
Norway,NOR,"Population, total",SP.POP.TOTL,5347896
Oman,OMN,"Population, total",SP.POP.TOTL,4591241
Pakistan,PAK,"Population, total",SP.POP.TOTL,230800899
Palau,PLW,"Population, total",SP.POP.TOTL,17798
Panama,PAN,"Population, total",SP.POP.TOTL,4234700
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,9609010
Paraguay,PRY,"Population, total",SP.POP.TOTL,6515058
Peru,PER,"Population, total",SP.POP.TOTL,32449303
Philippines,PHL,"Population, total",SP.POP.TOTL,110804683
Poland,POL,"Population, total",SP.POP.TOTL,37965475
Portugal,PRT,"Population, total",SP.POP.TOTL,10286263
Puerto Rico (US),PRI,"Population, total",SP.POP.TOTL,3302691
Qatar,QAT,"Population, total",SP.POP.TOTL,2638657
Romania,ROU,"Population, total",SP.POP.TOTL,19371648
Russian Federation,RUS,"Population, total",SP.POP.TOTL,145453291
Rwanda,RWA,"Population, total",SP.POP.TOTL,12776103
Samoa,WSM,"Population, total",SP.POP.TOTL,209780
San Marino,SMR,"Population, total",SP.POP.TOTL,34663
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,213392
Saudi Arabia,SAU,"Population, total",SP.POP.TOTL,30063799
Senegal,SEN,"Population, total",SP.POP.TOTL,16352922
Serbia,SRB,"Population, total",SP.POP.TOTL,6945235
Seychelles,SYC,"Population, total",SP.POP.TOTL,97625
Sierra Leone,SLE,"Population, total",SP.POP.TOTL,7731991
Singapore,SGP,"Population, total",SP.POP.TOTL,5703569
Sint Maarten (Dutch part),SXM,"Population, total",SP.POP.TOTL,40385
Slovak Republic,SVK,"Population, total",SP.POP.TOTL,5454147
Slovenia,SVN,"Population, total",SP.POP.TOTL,2088385
Solomon Islands,SLB,"Population, total",SP.POP.TOTL,728147
"Somalia, Fed. Rep.",SOM,"Population, total",SP.POP.TOTL,16030971
South Africa,ZAF,"Population, total",SP.POP.TOTL,59587885
South Sudan,SSD,"Population, total",SP.POP.TOTL,10423384
Spain,ESP,"Population, total",SP.POP.TOTL,47118501
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,21803000
St. Kitts and Nevis,KNA,"Population, total",SP.POP.TOTL,46952
St. Lucia,LCA,"Population, total",SP.POP.TOTL,177661
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,34267
St. Vincent and the Grenadines,VCT,"Population, total",SP.POP.TOTL,104167
Sudan,SDN,"Population, total",SP.POP.TOTL,45548175
Suriname,SUR,"Population, total",SP.POP.TOTL,605768
Sweden,SWE,"Population, total",SP.POP.TOTL,10278887
Switzerland,CHE,"Population, total",SP.POP.TOTL,8575280
Syrian Arab Republic,SYR,"Population, total",SP.POP.TOTL,20353534
Tajikistan,TJK,"Population, total",SP.POP.TOTL,9529966
Tanzania,TZA,"Population, total",SP.POP.TOTL,59174891
Thailand,THA,"Population, total",SP.POP.TOTL,71522271
Timor-Leste,TLS,"Population, total",SP.POP.TOTL,1300945
Togo,TGO,"Population, total",SP.POP.TOTL,8463068
Tonga,TON,"Population, total",SP.POP.TOTL,105669
Trinidad and Tobago,TTO,"Population, total",SP.POP.TOTL,1363985
Tunisia,TUN,"Population, total",SP.POP.TOTL,11875081
Turkiye,TUR,"Population, total",SP.POP.TOTL,82579440
Turkmenistan,TKM,"Population, total",SP.POP.TOTL,6803944
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,43166
Tuvalu,TUV,"Population, total",SP.POP.TOTL,10581
Uganda,UGA,"Population, total",SP.POP.TOTL,42999637
Ukraine,UKR,"Population, total",SP.POP.TOTL,44957458
United Arab Emirates,ARE,"Population, total",SP.POP.TOTL,9445785
United Kingdom,GBR,"Population, total",SP.POP.TOTL,66631000
United States,USA,"Population, total",SP.POP.TOTL,330226227
Uruguay,URY,"Population, total",SP.POP.TOTL,3397206
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,32964701
Vanuatu,VUT,"Population, total",SP.POP.TOTL,291985
"Venezuela, RB",VEN,"Population, total",SP.POP.TOTL,28938098
Viet Nam,VNM,"Population, total",SP.POP.TOTL,97173776
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,106669
West Bank and Gaza,PSE,"Population, total",SP.POP.TOTL,4685306
"Yemen, Rep.",YEM,"Population, total",SP.POP.TOTL,35111408
Zambia,ZMB,"Population, total",SP.POP.TOTL,18513839
Zimbabwe,ZWE,"Population, total",SP.POP.TOTL,15271368
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 10/07/2025,,,,
